YEAR,EVENT_TYPE,TOR_F_SCALE
1999,Hail,
1999,Hail,
1999,Wildfire,
1999,Flash Flood,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Flash Flood,
1999,Flash Flood,
1999,Heat,
1999,Strong Wind,
1999,Strong Wind,
1999,Heat,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,Heat,
1999,Ice Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Flash Flood,
1999,Flash Flood,
1999,Flash Flood,
1999,Winter Weather,
1999,Winter Storm,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Strong Wind,
1999,Tornado,F2
1999,Flash Flood,
1999,Flash Flood,
1999,Flash Flood,
1999,Dense Fog,
1999,Dense Fog,
1999,Heat,
1999,Flash Flood,
1999,Flash Flood,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Hail,
1999,Thunderstorm Wind,
1999,Hail,
1999,High Wind,
1999,Thunderstorm Wind,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,Winter Storm,
1999,High Wind,
1999,High Wind,
1999,Thunderstorm Wind,
1999,Hail,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Storm,
1999,Winter Storm,
1999,Heavy Rain,
1999,Winter Storm,
1999,Heavy Rain,
1999,Heavy Rain,
1999,Winter Storm,
1999,Hail,
1999,Hail,
1999,Tornado,F1
1999,Winter Storm,
1999,Winter Storm,
1999,Hail,
1999,Thunderstorm Wind,
1999,Heat,
1999,Heat,
1999,Tornado,F0
1999,Heavy Snow,
1999,Blizzard,
1999,Blizzard,
1999,Ice Storm,
1999,Thunderstorm Wind,
1999,Blizzard,
1999,Strong Wind,
1999,High Wind,
1999,High Wind,
1999,Winter Weather,
1999,Flash Flood,
1999,Flash Flood,
1999,Flash Flood,
1999,Flash Flood,
1999,Flash Flood,
1999,Winter Weather,
1999,High Wind,
1999,Flash Flood,
1999,Flood,
1999,Strong Wind,
1999,Flash Flood,
1999,High Wind,
1999,Thunderstorm Wind,
1999,High Wind,
1999,Flood,
1999,Heat,
1999,Flash Flood,
1999,Heavy Snow,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Flash Flood,
1999,Flash Flood,
1999,High Wind,
1999,High Wind,
1999,Hail,
1999,Hail,
1999,Dense Fog,
1999,Dense Fog,
1999,High Wind,
1999,Heavy Rain,
1999,Heavy Rain,
1999,High Wind,
1999,Heavy Snow,
1999,Hail,
1999,Heavy Snow,
1999,Heavy Rain,
1999,Heavy Rain,
1999,Thunderstorm Wind,
1999,Heavy Rain,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Heavy Rain,
1999,Cold/Wind Chill,
1999,Cold/Wind Chill,
1999,Winter Weather,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Strong Wind,
1999,Flash Flood,
1999,Thunderstorm Wind,
1999,Flood,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Heat,
1999,Flood,
1999,Flood,
1999,Flood,
1999,Hail,
1999,Winter Storm,
1999,Winter Storm,
1999,Heavy Snow,
1999,Winter Storm,
1999,Thunderstorm Wind,
1999,Flash Flood,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Heat,
1999,Winter Weather,
1999,Heat,
1999,Strong Wind,
1999,Strong Wind,
1999,Strong Wind,
1999,Flash Flood,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Flood,
1999,Flood,
1999,Flash Flood,
1999,Flood,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Blizzard,
1999,Ice Storm,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,Blizzard,
1999,Cold/Wind Chill,
1999,High Wind,
1999,Winter Storm,
1999,Seiche,
1999,Heavy Snow,
1999,Hail,
1999,Thunderstorm Wind,
1999,Hail,
1999,Heavy Snow,
1999,High Wind,
1999,Thunderstorm Wind,
1999,Winter Storm,
1999,Heavy Rain,
1999,Winter Weather,
1999,Strong Wind,
1999,Drought,
1999,Drought,
1999,Thunderstorm Wind,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Tornado,F1
1999,Ice Storm,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Flash Flood,
1999,Cold/Wind Chill,
1999,Ice Storm,
1999,Winter Storm,
1999,Ice Storm,
1999,Hail,
1999,Hail,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,High Wind,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Thunderstorm Wind,
1999,Cold/Wind Chill,
1999,Drought,
1999,Drought,
1999,Ice Storm,
1999,Ice Storm,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Tornado,F0
1999,Strong Wind,
1999,Strong Wind,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Winter Storm,
1999,Winter Storm,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,Drought,
1999,Drought,
1999,Hail,
1999,Hail,
1999,Thunderstorm Wind,
1999,Hail,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Storm,
1999,Drought,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Flash Flood,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Hail,
1999,Winter Storm,
1999,Heat,
1999,Winter Weather,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Dense Fog,
1999,Dense Fog,
1999,Winter Storm,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Heavy Rain,
1999,Heavy Rain,
1999,Winter Weather,
1999,Thunderstorm Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,Flood,
1999,Winter Storm,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Heat,
1999,Heat,
1999,Winter Storm,
1999,Winter Storm,
1999,Thunderstorm Wind,
1999,Flash Flood,
1999,Thunderstorm Wind,
1999,Flood,
1999,Thunderstorm Wind,
1999,Winter Storm,
1999,Ice Storm,
1999,Ice Storm,
1999,Strong Wind,
1999,Strong Wind,
1999,High Wind,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Heat,
1999,Thunderstorm Wind,
1999,Winter Weather,
1999,Flood,
1999,Waterspout,
1999,Waterspout,
1999,Heavy Snow,
1999,Lightning,
1999,Winter Storm,
1999,Ice Storm,
1999,Ice Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,High Wind,
1999,High Wind,
1999,Heavy Snow,
1999,Thunderstorm Wind,
1999,Tornado,F2
1999,High Surf,
1999,High Surf,
1999,High Surf,
1999,Tornado,F1
1999,Tornado,F1
1999,Tornado,F1
1999,Thunderstorm Wind,
1999,High Wind,
1999,Hail,
1999,High Wind,
1999,Heat,
1999,Heat,
1999,Hail,
1999,Winter Weather,
1999,Winter Weather,
1999,Flood,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Flash Flood,
1999,Flash Flood,
1999,Dense Fog,
1999,Tornado,F2
1999,Tornado,F2
1999,Thunderstorm Wind,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Sleet,
1999,Sleet,
1999,Sleet,
1999,Sleet,
1999,Sleet,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,High Wind,
1999,High Wind,
1999,Heavy Snow,
1999,Winter Storm,
1999,Winter Storm,
1999,Thunderstorm Wind,
1999,Winter Storm,
1999,Thunderstorm Wind,
1999,Winter Storm,
1999,Winter Storm,
1999,Funnel Cloud,
1999,Hail,
1999,Winter Weather,
1999,Winter Weather,
1999,Drought,
1999,Winter Storm,
1999,Winter Storm,
1999,Hail,
1999,Winter Storm,
1999,Heavy Snow,
1999,Flash Flood,
1999,Winter Storm,
1999,Winter Weather,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Heavy Rain,
1999,Drought,
1999,Hail,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,High Wind,
1999,Winter Storm,
1999,Drought,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Weather,
1999,Drought,
1999,High Surf,
1999,Winter Storm,
1999,Winter Storm,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Heavy Rain,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,Winter Weather,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Heavy Rain,
1999,Winter Storm,
1999,Sleet,
1999,Sleet,
1999,Heavy Snow,
1999,Flash Flood,
1999,Winter Storm,
1999,Thunderstorm Wind,
1999,Winter Storm,
1999,High Wind,
1999,Heavy Rain,
1999,Heavy Rain,
1999,Heavy Rain,
1999,Heavy Rain,
1999,Heavy Rain,
1999,Heavy Rain,
1999,Heavy Rain,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Dense Fog,
1999,Winter Storm,
1999,Cold/Wind Chill,
1999,Cold/Wind Chill,
1999,Cold/Wind Chill,
1999,Cold/Wind Chill,
1999,Thunderstorm Wind,
1999,Tornado,F2
1999,Winter Weather,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Weather,
1999,Heavy Rain,
1999,Heavy Rain,
1999,Flash Flood,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Tornado,F1
1999,Tornado,F3
1999,Tornado,F3
1999,Heavy Snow,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Winter Storm,
1999,Strong Wind,
1999,Strong Wind,
1999,Winter Weather,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Storm,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Storm,
1999,Winter Storm,
1999,Thunderstorm Wind,
1999,Tornado,F0
1999,High Wind,
1999,Lake-Effect Snow,
1999,Heavy Rain,
1999,Heavy Rain,
1999,Tornado,F2
1999,Winter Storm,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,Ice Storm,
1999,Flash Flood,
1999,High Surf,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Flood,
1999,Thunderstorm Wind,
1999,Hail,
1999,Winter Weather,
1999,Winter Storm,
1999,Hail,
1999,Thunderstorm Wind,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Flash Flood,
1999,Hail,
1999,Tornado,F0
1999,Hail,
1999,Tornado,F3
1999,Hail,
1999,Hail,
1999,Winter Weather,
1999,Winter Weather,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,Dense Fog,
1999,Dense Fog,
1999,Dense Fog,
1999,Strong Wind,
1999,Strong Wind,
1999,Strong Wind,
1999,Strong Wind,
1999,Strong Wind,
1999,Strong Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Hail,
1999,Thunderstorm Wind,
1999,Hail,
1999,Dense Fog,
1999,Heavy Snow,
1999,Thunderstorm Wind,
1999,Ice Storm,
1999,Ice Storm,
1999,Ice Storm,
1999,Ice Storm,
1999,Ice Storm,
1999,Ice Storm,
1999,Ice Storm,
1999,Ice Storm,
1999,Cold/Wind Chill,
1999,Strong Wind,
1999,Strong Wind,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Flash Flood,
1999,Tornado,F1
1999,Hail,
1999,Flood,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,Thunderstorm Wind,
1999,High Wind,
1999,Tornado,F0
1999,Thunderstorm Wind,
1999,Tornado,F0
1999,Coastal Flood,
1999,Winter Storm,
1999,Winter Weather,
1999,Winter Storm,
1999,Heavy Snow,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Thunderstorm Wind,
1999,Hail,
1999,Thunderstorm Wind,
1999,High Wind,
1999,Flash Flood,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,Strong Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Flood,
1999,Flood,
1999,Hail,
1999,Hail,
1999,Flash Flood,
1999,Flash Flood,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Winter Storm,
1999,Winter Storm,
1999,Cold/Wind Chill,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Strong Wind,
1999,Strong Wind,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Storm,
1999,Thunderstorm Wind,
1999,Flash Flood,
1999,Flood,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,Ice Storm,
1999,Flood,
1999,Heavy Rain,
1999,Flood,
1999,Hail,
1999,Hail,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Hail,
1999,Winter Storm,
1999,Heavy Snow,
1999,Winter Storm,
1999,Heavy Snow,
1999,Heavy Snow,
1999,High Wind,
1999,Winter Storm,
1999,Drought,
1999,Winter Storm,
1999,Winter Storm,
1999,Flash Flood,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Thunderstorm Wind,
1999,High Wind,
1999,Hail,
1999,Flash Flood,
1999,Flash Flood,
1999,Hail,
1999,Heavy Snow,
1999,Waterspout,
1999,Dense Fog,
1999,Dense Fog,
1999,Dense Fog,
1999,Dense Fog,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Hail,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,High Wind,
1999,Thunderstorm Wind,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Heat,
1999,Heat,
1999,Heat,
1999,Winter Storm,
1999,Ice Storm,
1999,Winter Storm,
1999,Hail,
1999,Winter Storm,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Storm,
1999,Hail,
1999,Ice Storm,
1999,Ice Storm,
1999,Ice Storm,
1999,High Wind,
1999,Winter Weather,
1999,Heavy Snow,
1999,Winter Storm,
1999,Hail,
1999,Hail,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Hail,
1999,Winter Storm,
1999,Drought,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Hail,
1999,Winter Weather,
1999,Winter Storm,
1999,Winter Storm,
1999,High Wind,
1999,High Wind,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Heat,
1999,Strong Wind,
1999,High Wind,
1999,Heavy Snow,
1999,Heat,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Thunderstorm Wind,
1999,High Wind,
1999,Lightning,
1999,Hail,
1999,Winter Storm,
1999,Winter Storm,
1999,Thunderstorm Wind,
1999,Winter Storm,
1999,Winter Weather,
1999,Winter Storm,
1999,Hail,
1999,Thunderstorm Wind,
1999,Winter Storm,
1999,Winter Storm,
1999,Hail,
1999,Tornado,F1
1999,Tornado,F2
1999,Tornado,F3
1999,Heavy Snow,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Storm,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Flash Flood,
1999,Thunderstorm Wind,
1999,Hail,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Hail,
1999,Coastal Flood,
1999,Hail,
1999,Lightning,
1999,Lightning,
1999,Lightning,
1999,Lightning,
1999,Lightning,
1999,Hail,
1999,Hail,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Blizzard,
1999,Heavy Snow,
1999,Winter Weather,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Thunderstorm Wind,
1999,Drought,
1999,Drought,
1999,High Wind,
1999,Hail,
1999,Hail,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Winter Weather,
1999,Heat,
1999,Winter Weather,
1999,Dense Fog,
1999,Dense Fog,
1999,Winter Weather,
1999,Tornado,F0
1999,Winter Weather,
1999,Heat,
1999,Heat,
1999,Flash Flood,
1999,Hail,
1999,Heat,
1999,Heat,
1999,Winter Storm,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Weather,
1999,Heavy Snow,
1999,High Wind,
1999,High Wind,
1999,Heavy Snow,
1999,Tornado,F2
1999,Tornado,F1
1999,High Wind,
1999,Hail,
1999,High Wind,
1999,Hail,
1999,Thunderstorm Wind,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Funnel Cloud,
1999,Flash Flood,
1999,Flash Flood,
1999,Heat,
1999,Thunderstorm Wind,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Tornado,F0
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Tornado,F0
1999,Heat,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Dense Fog,
1999,Winter Weather,
1999,High Wind,
1999,Winter Storm,
1999,Winter Storm,
1999,Ice Storm,
1999,Ice Storm,
1999,Ice Storm,
1999,Winter Weather,
1999,Heavy Snow,
1999,Hail,
1999,Hail,
1999,Flash Flood,
1999,Winter Storm,
1999,Hail,
1999,Thunderstorm Wind,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Winter Storm,
1999,Dense Fog,
1999,Hail,
1999,Heavy Snow,
1999,Hail,
1999,Hail,
1999,Tornado,F1
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Thunderstorm Wind,
1999,Drought,
1999,Drought,
1999,Blizzard,
1999,Strong Wind,
1999,Strong Wind,
1999,Heat,
1999,Ice Storm,
1999,Dense Fog,
1999,High Wind,
1999,Funnel Cloud,
1999,Flood,
1999,Flash Flood,
1999,Flash Flood,
1999,Tornado,F0
1999,Hail,
1999,Flash Flood,
1999,Flash Flood,
1999,Lightning,
1999,Flash Flood,
1999,Flash Flood,
1999,Lightning,
1999,Winter Storm,
1999,Tornado,F2
1999,Tornado,F1
1999,Tornado,F0
1999,Tornado,F0
1999,Tornado,F0
1999,High Wind,
1999,Drought,
1999,High Wind,
1999,Drought,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Strong Wind,
1999,High Wind,
1999,High Wind,
1999,Winter Weather,
1999,Heat,
1999,Coastal Flood,
1999,Flash Flood,
1999,Winter Weather,
1999,Hail,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Hail,
1999,Winter Weather,
1999,Winter Storm,
1999,Flash Flood,
1999,Flash Flood,
1999,Winter Storm,
1999,Flash Flood,
1999,Hail,
1999,Winter Weather,
1999,Dense Fog,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,Lightning,
1999,Heavy Snow,
1999,Cold/Wind Chill,
1999,Heat,
1999,Heat,
1999,Hail,
1999,Thunderstorm Wind,
1999,Hail,
1999,Hail,
1999,Thunderstorm Wind,
1999,Hail,
1999,Heavy Rain,
1999,Heavy Snow,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Flash Flood,
1999,Flash Flood,
1999,Winter Storm,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Heavy Rain,
1999,Heavy Rain,
1999,Hail,
1999,Hail,
1999,High Wind,
1999,Winter Storm,
1999,Winter Storm,
1999,Heat,
1999,Heat,
1999,Heat,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,Drought,
1999,Strong Wind,
1999,Strong Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,Thunderstorm Wind,
1999,Strong Wind,
1999,Winter Storm,
1999,Winter Storm,
1999,High Wind,
1999,Flash Flood,
1999,Tornado,F3
1999,Tornado,F4
1999,High Surf,
1999,Lightning,
1999,Thunderstorm Wind,
1999,Funnel Cloud,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Hail,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Funnel Cloud,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Winter Weather,
1999,Flood,
1999,Hail,
1999,Winter Weather,
1999,High Wind,
1999,Winter Weather,
1999,Winter Storm,
1999,Heavy Rain,
1999,High Wind,
1999,Hail,
1999,Hail,
1999,Drought,
1999,Flash Flood,
1999,Flash Flood,
1999,Thunderstorm Wind,
1999,Flash Flood,
1999,Waterspout,
1999,Waterspout,
1999,Flood,
1999,Thunderstorm Wind,
1999,Cold/Wind Chill,
1999,Cold/Wind Chill,
1999,Winter Storm,
1999,Flash Flood,
1999,Flash Flood,
1999,Flash Flood,
1999,Hail,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Hail,
1999,Thunderstorm Wind,
1999,Hail,
1999,Ice Storm,
1999,Ice Storm,
1999,Winter Storm,
1999,Flood,
1999,Flood,
1999,Flood,
1999,Flood,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,Heavy Snow,
1999,Flood,
1999,Flash Flood,
1999,Dense Fog,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Winter Storm,
1999,Flash Flood,
1999,Hail,
1999,Hail,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Hail,
1999,Lightning,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Hail,
1999,Hail,
1999,Winter Storm,
1999,Winter Storm,
1999,Heavy Snow,
1999,Heavy Snow,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,Winter Storm,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Cold/Wind Chill,
1999,Winter Weather,
1999,High Surf,
1999,Thunderstorm Wind,
1999,High Wind,
1999,Winter Storm,
1999,Flood,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Dense Fog,
1999,Hail,
1999,Thunderstorm Wind,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Winter Storm,
1999,Winter Storm,
1999,Heavy Snow,
1999,High Wind,
1999,Thunderstorm Wind,
1999,Hail,
1999,Winter Storm,
1999,Winter Storm,
1999,Hail,
1999,Drought,
1999,Tornado,F3
1999,Thunderstorm Wind,
1999,Ice Storm,
1999,Lightning,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,Funnel Cloud,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Heavy Snow,
1999,High Wind,
1999,Dense Fog,
1999,Dense Fog,
1999,Dense Fog,
1999,Strong Wind,
1999,Thunderstorm Wind,
1999,Hail,
1999,Hail,
1999,Cold/Wind Chill,
1999,Heavy Snow,
1999,Tornado,F3
1999,Strong Wind,
1999,Drought,
1999,Drought,
1999,Drought,
1999,Strong Wind,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Flash Flood,
1999,Winter Storm,
1999,Winter Weather,
1999,Winter Storm,
1999,Dense Fog,
1999,High Wind,
1999,Hail,
1999,Hail,
1999,Hail,
1999,High Wind,
1999,High Wind,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Winter Weather,
1999,High Wind,
1999,High Wind,
1999,High Wind,
1999,Hail,
1999,Hail,
1999,Thunderstorm Wind,
1999,Hail,
1999,Thunderstorm Wind,
1999,High Wind,
1999,Ice Storm,
1999,Tornado,F2
1999,Tornado,F2
1999,Tornado,F1
1999,Tornado,F0
1999,Heavy Rain,
1999,Drought,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Hail,
1999,Lake-Effect Snow,
1999,Winter Storm,
1999,Tornado,F1
1999,Tornado,F0
1999,Winter Weather,
1999,Ice Storm,
1999,Tornado,F0
1999,Thunderstorm Wind,
1999,Tornado,F0
1999,Flood,
1999,Hail,
1999,Flash Flood,
1999,Hail,
1999,Hail,
1999,Thunderstorm Wind,
1999,Hail,
1999,Hail,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Winter Storm,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Heavy Snow,
1999,Flash Flood,
1999,Winter Storm,
1999,Winter Storm,
1999,High Surf,
1999,Ice Storm,
1999,High Wind,
1999,Heavy Snow,
1999,Thunderstorm Wind,
1999,Tornado,F0
1999,Tornado,F0
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Hail,
1999,Hail,
1999,Hail,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Winter Storm,
1999,Thunderstorm Wind,
1999,High Wind,
1999,Heat,
1999,Ice Storm,
1999,High Wind,
1999,High Wind,
1999,Hail,
1999,Ice Storm,
1999,Winter Storm,
1999,Winter Storm,
1999,Heavy Snow,
1999,Winter Weather,
1999,Dense Fog,
1999,Dense Fog,
1999,Dense Fog,
1999,Heavy Rain,
1999,Flash Flood,
1999,Flash Flood,
1999,Flash Flood,
1999,Flash Flood,
1999,Heavy Rain,
1999,Flood,
1999,Flood,
1999,Hail,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Thunderstorm Wind,
1999,Hail,
1999,Thunderstorm Wind,
1999,Wildfire,
1999,Wildfire,
1999,Wildfire,
1999,Tornado,F3
1999,Winter Weather,
1999,Winter Weather,
1999,Cold/Wind Chill,
1999,Winter Weather,
